,g,C,ERR
710,0.49,23400,0.1857142857142857
711,0.67,23400,0.1857142857142857
712,0.77,23400,0.1857142857142857
713,0.02,23600,0.1857142857142857
714,0.48,23600,0.1857142857142857
715,0.04,23800,0.1857142857142857
716,0.84,24200,0.1857142857142857
717,0.16,24400,0.1857142857142857
718,0.79,24400,0.1857142857142857
719,0.26,800,0.18571428571428572
720,0.21,1400,0.18571428571428572
721,0.11,2000,0.18571428571428572
722,0.13,2400,0.18571428571428572
723,1.26,2400,0.18571428571428572
724,0.07,2800,0.18571428571428572
725,1.17,2800,0.18571428571428572
726,0.95,3000,0.18571428571428572
727,0.07,4400,0.18571428571428572
728,0.08,5200,0.18571428571428572
729,0.73,5600,0.18571428571428572
730,0.05,6200,0.18571428571428572
731,0.07,6600,0.18571428571428572
732,0.04,8000,0.18571428571428572
733,1.41,8200,0.18571428571428572
734,0.51,8600,0.18571428571428572
735,0.1,9000,0.18571428571428572
736,0.65,10200,0.18571428571428572
737,0.07,11400,0.18571428571428572
738,0.68,12000,0.18571428571428572
739,0.95,13600,0.18571428571428572
740,0.45,13800,0.18571428571428572
741,0.5,14200,0.18571428571428572
742,0.84,15200,0.18571428571428572
743,0.58,15400,0.18571428571428572
744,0.15,18000,0.18571428571428572
745,0.07,18200,0.18571428571428572
746,0.39,18200,0.18571428571428572
747,0.37,18400,0.18571428571428572
748,0.53,19800,0.18571428571428572
749,0.03,20600,0.18571428571428572
750,0.48,22600,0.18571428571428572
751,0.02,23400,0.18571428571428572
752,0.03,23400,0.18571428571428572
753,0.41,23400,0.18571428571428572
754,0.79,24600,0.18571428571428572
755,0.25,200,0.19999999999999996
756,0.29,200,0.19999999999999996
757,0.32,200,0.19999999999999996
758,0.39,200,0.19999999999999996
759,0.48,200,0.19999999999999996
760,0.58,200,0.19999999999999996
761,0.6,200,0.19999999999999996
762,0.64,200,0.19999999999999996
763,1.43,200,0.19999999999999996
764,0.16,400,0.19999999999999996
765,0.22,400,0.19999999999999996
766,0.32,400,0.19999999999999996
767,0.4,400,0.19999999999999996
768,0.41,400,0.19999999999999996
769,0.47,400,0.19999999999999996
770,0.95,400,0.19999999999999996
771,1.03,400,0.19999999999999996
772,1.09,400,0.19999999999999996
773,1.16,400,0.19999999999999996
774,1.28,400,0.19999999999999996
775,1.3,400,0.19999999999999996
776,1.32,400,0.19999999999999996
777,1.33,400,0.19999999999999996
778,1.44,400,0.19999999999999996
